group,well_name,LSTM_train_r2,LSTM_train_mae,LSTM_train_rmse,LSTM_test_r2,LSTM_test_mae,LSTM_test_rmse
Wilson,5123454260000,0.92,21.41,40.78,0.57,1.89,2.09
Wilson,5123454300000,0.90,21.98,43.31,-8.89,12.64,12.79
Wilson,5123454360000,0.83,41.39,61.49,-25.53,18.43,18.50
Wilson,5123454280000,0.91,12.58,20.91,-23.59,18.66,18.73
Wilson,5123454350000,0.95,17.39,32.10,-25.51,9.60,9.64
Wilson,5123454320000,0.79,27.43,47.46,-0.83,8.82,9.02
Wilson,5123454290000,0.92,21.83,34.81,-17.05,7.92,8.48
Wilson,5123454330000,0.71,42.46,68.96,-30.99,23.61,23.78
Wilson,5123454340000,0.85,30.47,53.16,-6.31,17.14,17.39
Wilson,5123454270000,0.94,14.84,26.69,-1.32,2.41,2.72
Wilson,5123454310000,0.95,19.88,29.13,-46.45,20.02,20.10
Wilson,5123454370000,0.92,19.51,33.81,0.43,4.28,4.53
Wilson,5123454410000,0.82,26.89,43.00,-39.98,21.07,21.11
Wilson,5123454440000,0.91,19.68,34.82,0.33,1.98,2.38
Wilson,5123454400000,0.86,29.91,68.48,-14.74,8.66,8.73
Wilson,5123454390000,0.97,16.23,23.42,-22.58,7.79,7.82
Wilson,5123454420000,0.96,11.46,20.35,-1.48,9.75,13.77
Wilson,5123454380000,0.90,31.27,44.77,-12.18,24.78,24.92
Wilson,5123454460000,0.91,22.08,33.72,-4.55,5.86,6.07
Wilson,5123454470100,0.90,27.02,49.77,-1.15,6.85,6.94
Wilson,5123454480000,0.75,53.41,78.11,-236.38,49.49,49.50
Wilson,5123454490000,0.87,37.26,58.04,-0.46,5.84,6.05
Wilson,5123454520000,0.76,46.16,72.63,-57.43,24.28,24.29
Wilson,5123454500000,0.81,38.22,67.42,-2.52,3.19,3.29
Wilson,5123454510000,0.73,43.79,75.74,-8.10,16.02,16.05
Wilson,5123454530000,0.91,28.85,46.87,-1.53,6.52,8.50
Wilson,5123454580000,0.86,23.54,40.90,-15.67,19.15,19.25
Wilson,5123454540000,0.95,21.22,32.14,-1.88,5.19,5.34
