group,well_name,Prophet_test_r2,Prophet_test_mae,Prophet_test_rmse
Wilson,5123454260000,-6.06,12.40,14.18
Wilson,5123454300000,-6.48,15.06,16.97
Wilson,5123454360000,-42.60,31.06,35.71
Wilson,5123454280000,-0.69,5.91,7.65
Wilson,5123454350000,-11.71,11.99,14.69
Wilson,5123454320000,-0.06,8.42,11.12
Wilson,5123454290000,-431.61,80.10,84.71
Wilson,5123454330000,-1063.08,118.44,126.36
Wilson,5123454340000,-10.87,27.92,30.61
Wilson,5123454270000,-41.76,14.65,16.23
Wilson,5123454310000,-8.66,11.03,12.86
Wilson,5123454370000,-17.18,29.37,29.83
Wilson,5123454410000,-19.79,21.16,26.20
Wilson,5123454440000,-1.72,8.58,10.92
Wilson,5123454400000,-13.93,10.57,11.99
Wilson,5123454390000,-3.52,6.28,6.62
Wilson,5123454420000,-1.84,13.43,15.71
Wilson,5123454380000,-74.33,66.96,75.28
Wilson,5123454460000,-39.81,26.30,27.61
Wilson,5123454470100,-17.71,43.00,46.41
Wilson,5123454480000,-9.92,21.48,23.85
Wilson,5123454490000,-31.86,39.96,44.55
Wilson,5123454520000,-29.47,26.79,29.47
Wilson,5123454500000,-2.66,6.77,7.33
Wilson,5123454510000,-5.78,26.85,27.15
Wilson,5123454530000,-0.89,7.22,9.12
Wilson,5123454580000,-8.03,23.04,25.34
Wilson,5123454540000,-133.16,46.71,51.35
