Date,oil/day
2019-07-01,187.04
2019-08-01,349.61
2019-09-01,424.46
2019-10-01,420.9
2019-11-01,371.63
2019-12-01,311.26
2020-01-01,254.1
2020-02-01,217.34
2020-03-01,205.87
2020-04-01,194.13
2020-05-01,169.16
2020-06-01,144.17
2020-07-01,134.84
2020-08-01,125.16
2020-09-01,119.3
2020-10-01,112.45
2020-11-01,107.77
2020-12-01,93.26
2021-01-01,87.84
2021-02-01,84.54
2021-03-01,78.58
2021-04-01,81.1
2021-05-01,73.65
2021-06-01,71.37
2021-07-01,63.45
2021-08-01,61.39
2021-09-01,59.13
2021-10-01,59.39
2021-11-01,56.7
2021-12-01,54.16
